Coin,Price,1h_Change,24h_Change,7d_Change,24h_Volume,Market_Capital
Lido Staked Ether,"$2,844.76",0.1%,-2.7%,13.1%,"$7,159,946","$7,776,278,624"
Near,$10.79,1.5%,-3.1%,9.1%,"$220,040,596","$7,074,724,899"
Chainlink,$14.47,0.3%,-3.0%,13.8%,"$408,565,858","$6,756,025,680"
TRON,$0.061071590970,0.0%,-1.5%,2.8%,"$719,201,662","$6,215,303,980"
Bitcoin Cash,$324.44,0.7%,-0.1%,15.8%,"$1,484,108,431","$6,158,762,435"
FTX Token,$43.83,0.0%,-1.7%,9.7%,"$52,354,021","$6,023,987,637"
LEO Token,$6.13,0.2%,2.3%,4.9%,"$422,685","$5,743,895,779"
Ethereum Classic,$37.44,1.3%,0.9%,47.3%,"$2,760,700,200","$4,959,629,737"
OKB,$18.95,0.2%,-9.1%,8.7%,"$218,287,579","$4,932,414,420"
Algorand,$0.742195,0.4%,-3.5%,9.0%,"$115,106,822","$4,917,353,303"
Stellar,$0.195965,0.6%,-2.3%,10.7%,"$206,136,092","$4,822,996,284"
Uniswap,$9.28,0.3%,-3.5%,13.3%,"$161,721,056","$4,241,301,591"
Hedera,$0.207619,0.0%,-0.1%,4.1%,"$44,315,881","$4,105,517,644"
Axie Infinity,$49.80,-0.0%,-4.1%,9.6%,"$205,122,550","$3,846,382,856"
Elrond,$165.46,0.2%,3.1%,22.3%,"$222,738,290","$3,661,872,515"
Decentraland,$2.38,0.2%,-3.4%,5.3%,"$215,184,436","$3,597,624,966"
Internet Computer,$16.52,0.1%,-5.1%,4.6%,"$111,995,811","$3,558,658,421"
The Sandbox,$3.04,0.2%,-4.0%,11.5%,"$368,333,873","$3,469,373,709"
Monero,$191.12,0.5%,-3.9%,8.5%,"$194,004,301","$3,457,672,949"
VeChain,$0.049379171856,0.2%,-4.8%,10.7%,"$225,244,014","$3,297,633,149"
cETH,$57.11,0.1%,-3.0%,12.7%,$26.82,"$3,196,892,875"
Waves,$31.83,-0.6%,-0.0%,18.8%,"$839,286,110","$3,188,118,594"
Filecoin,$17.56,0.2%,-2.9%,1.8%,"$196,298,768","$3,156,926,323"
Fantom,$1.22,0.6%,-5.9%,8.9%,"$450,893,152","$3,097,403,966"
Klaytn,$1.09,0.4%,-2.6%,1.3%,"$42,034,422","$3,010,475,456"
Osmosis,$9.13,0.0%,-0.5%,2.1%,"$57,518,943","$2,968,465,085"
Theta Network,$2.87,0.2%,-4.9%,6.1%,"$106,709,625","$2,864,395,915"
Tezos,$3.22,-0.1%,-3.4%,10.4%,"$175,999,932","$2,835,910,887"
Frax,$0.998915,0.2%,0.1%,0.0%,"$13,260,807","$2,808,606,796"
Magic Internet Money,$0.999031,0.0%,0.3%,-0.2%,"$31,850,934","$2,779,327,908"
THORChain,$8.45,0.2%,-8.3%,31.5%,"$158,336,042","$2,533,782,308"
cUSDC,$0.022514259828,-0.0%,0.0%,-0.9%,$32.23,"$2,531,628,864"
The Graph,$0.387926,0.2%,-5.9%,15.6%,"$127,757,699","$2,390,850,267"
Flow,$6.17,0.3%,2.9%,15.2%,"$204,355,973","$2,192,677,666"
Helium,$21.64,0.1%,-9.3%,8.0%,"$24,774,490","$2,172,341,880"
EOS,$2.18,0.4%,-2.6%,13.7%,"$328,604,098","$2,151,865,368"
Zcash,$172.72,0.7%,-1.5%,10.9%,"$334,689,676","$2,111,843,910"
cDAI,$0.021898644829,0.0%,0.1%,-0.9%,$0.000000000000,"$2,105,412,949"
IOTA,$0.733043,0.1%,-6.6%,7.5%,"$48,175,562","$2,037,565,690"
Aave,$148.87,0.4%,-4.6%,28.3%,"$230,455,522","$2,032,566,820"
Theta Fuel,$0.163595,0.0%,-3.5%,3.5%,"$10,462,569","$1,886,178,774"
PancakeSwap,$6.50,1.1%,2.0%,12.7%,"$99,212,130","$1,806,522,721"
ECOMI,$0.003053409409,-0.8%,-5.9%,-12.7%,"$2,999,566","$1,777,790,185"
Maker,"$1,965.28",-0.5%,-4.2%,16.5%,"$45,843,106","$1,771,895,117"
Gala,$0.229298,0.4%,-7.3%,5.8%,"$550,412,827","$1,730,620,399"
BitTorrent,$0.000001818833,0.1%,-1.8%,4.4%,"$126,834,598","$1,682,472,656"
Huobi BTC,"$40,767.69",-0.7%,-2.3%,7.2%,"$852,221","$1,626,104,846"
Bitcoin SV,$84.30,-0.2%,1.2%,11.7%,"$209,365,256","$1,606,225,353"
Arweave,$32.03,0.5%,-4.8%,5.2%,"$23,906,214","$1,598,982,131"
Quant,$117.32,-0.1%,-2.6%,4.5%,"$15,637,294","$1,574,872,448"
JUNO,$34.34,0.1%,-2.6%,-1.1%,"$4,571,237","$1,574,707,372"
NEO,$22.17,-0.7%,-4.0%,16.1%,"$319,419,036","$1,570,042,587"
Harmony,$0.132574,0.7%,-4.8%,10.6%,"$72,521,582","$1,564,102,960"
eCash,$0.000080249983,0.1%,-1.7%,8.0%,"$23,080,936","$1,526,305,368"
Huobi Token,$9.13,-0.2%,0.0%,2.5%,"$29,483,883","$1,422,501,280"
TrueUSD,$1.00,-0.1%,0.1%,-0.1%,"$99,756,141","$1,416,211,950"
KuCoin Token,$18.15,0.1%,-2.0%,2.5%,"$4,153,674","$1,383,215,178"
Celsius Network,$3.24,0.0%,-0.8%,7.6%,"$1,900,906","$1,370,547,696"
Stacks,$1.29,-0.4%,-0.6%,4.3%,"$36,942,909","$1,363,862,236"
ApeCoin,$10.25,2.5%,-9.4%,,"$1,484,418,001","$1,358,416,128"
Kusama,$149.35,-0.1%,-0.2%,26.9%,"$95,268,421","$1,337,975,213"
Enjin Coin,$1.42,0.1%,-4.2%,9.0%,"$89,611,832","$1,325,697,016"
Humans.ai,$0.040599536750,0.5%,-3.2%,-27.0%,"$566,894","$1,309,127,902"
NEXO,$2.19,0.3%,-2.1%,7.0%,"$2,640,648","$1,223,900,736"
Amp,$0.025466805892,0.2%,-4.6%,4.3%,"$9,934,831","$1,221,361,693"
Celo,$2.84,0.8%,-3.9%,11.7%,"$62,149,413","$1,216,097,738"
Dash,$114.33,0.7%,8.9%,21.7%,"$643,049,156","$1,212,608,139"
Basic Attention Token,$0.805681,0.6%,-4.1%,18.9%,"$79,769,375","$1,205,060,006"
Radix,$0.121640,-0.9%,-1.6%,1.9%,"$91,389.81","$1,193,149,878"
Synthetix Network Token,$5.14,0.4%,-3.2%,32.5%,"$146,647,463","$1,110,531,192"
Chiliz,$0.200243,-0.3%,-4.2%,2.6%,"$83,314,622","$1,071,844,251"
Convex Finance,$18.96,-0.2%,-0.8%,20.1%,"$14,910,816","$1,038,091,865"
Kadena,$6.03,-0.3%,-2.8%,-3.5%,"$32,003,142","$1,035,426,800"
Loopring,$0.819417,-0.1%,-8.7%,19.7%,"$327,658,820","$1,020,020,017"
Frax Share,$17.60,0.1%,-0.9%,-2.5%,"$4,215,432","$1,016,354,135"
Pax Dollar,$1.00,-0.1%,0.1%,-0.0%,"$27,131,952","$999,094,143"
BitDAO,$1.11,-0.0%,-1.3%,4.7%,"$41,951,380","$992,060,537"
GateToken,$6.38,-0.1%,-0.3%,2.2%,"$6,425,940","$968,913,185"
Xido Finance,$31.57,-0.4%,-51.8%,20.2%,"$37,668.03","$904,038,048"
