Coin,Price,1h_Change,24h_Change,7d_Change,24h_Volume,Market_Capital
PancakeSwap,$7.92,-1.2%,-12.2%,-6.4%,"$356,178,772","$2,286,388,716"
DeFiChain,$4.33,-0.6%,3.4%,-1.5%,"$24,651,745","$2,242,228,363"
Zcash,$167.78,0.2%,10.8%,7.4%,"$250,087,857","$2,069,319,449"
STEPN,$3.41,0.1%,5.9%,7.0%,"$1,586,332,553","$2,037,960,401"
cUSDC,$0.022538283330,0.0%,-0.1%,0.1%,$0.000000000000,"$1,979,511,467"
Flow,$5.44,-0.6%,3.0%,-6.5%,"$57,687,245","$1,965,553,204"
KuCoin Token,$19.71,-0.4%,2.3%,-2.9%,"$5,426,867","$1,937,250,394"
Theta Fuel,$0.160266,-0.8%,3.2%,-2.6%,"$15,828,244","$1,886,178,774"
IOTA,$0.637464,-0.9%,1.9%,-4.5%,"$39,154,471","$1,772,172,091"
BitTorrent,$0.000001832998,0.0%,2.1%,-4.1%,"$67,595,119","$1,701,405,885"
Frax Share,$28.18,-0.5%,2.0%,-19.6%,"$33,675,373","$1,701,029,309"
Osmosis,$4.79,-0.3%,0.2%,-17.0%,"$35,203,064","$1,700,509,052"
Helium,$16.85,-1.2%,1.1%,-12.1%,"$13,169,281","$1,694,754,226"
Waves,$16.56,-0.5%,0.8%,-18.8%,"$318,920,551","$1,654,229,864"
eCash,$0.000087219613,-0.2%,3.0%,-3.7%,"$25,508,477","$1,652,719,613"
Huobi BTC,"$40,175.24",-0.4%,3.6%,-1.5%,"$2,608,423","$1,602,904,065"
Chain,$0.094477907324,1.5%,-3.7%,-10.9%,"$73,720,792","$1,601,182,592"
cDAI,$0.021937449931,-0.2%,-0.2%,-0.0%,$71.95,"$1,596,380,122"
Maker,"$1,752.64",-1.3%,2.1%,-3.7%,"$63,199,392","$1,582,684,102"
Bitcoin SV,$80.57,-0.5%,3.6%,-4.8%,"$67,583,871","$1,532,339,032"
Convex Finance,$25.94,-0.8%,4.4%,-7.8%,"$15,158,604","$1,522,460,505"
Huobi Token,$9.44,0.0%,0.5%,0.5%,"$39,808,666","$1,465,010,774"
Kusama,$161.78,-1.1%,4.4%,-3.4%,"$81,910,310","$1,453,479,709"
Zilliqa,$0.100942,-1.6%,2.3%,-6.3%,"$308,727,093","$1,436,088,741"
NEO,$19.97,-1.4%,3.3%,-6.3%,"$124,358,975","$1,404,287,051"
Quant,$104.16,0.2%,0.1%,-6.8%,"$43,378,250","$1,399,842,249"
Synthetix Network Token,$6.37,4.2%,14.8%,23.0%,"$173,357,068","$1,397,270,376"
Arweave,$27.34,-1.5%,3.6%,-9.6%,"$17,809,022","$1,373,059,458"
TrueUSD,$0.998604,-0.1%,-0.2%,-0.2%,"$110,144,146","$1,354,013,628"
Gala,$0.178416,-0.5%,1.6%,-8.6%,"$253,836,299","$1,344,027,834"
Harmony,$0.108827,-0.7%,2.5%,-12.9%,"$56,639,055","$1,303,269,886"
Enjin Coin,$1.37,-1.2%,3.3%,-5.9%,"$135,178,970","$1,278,856,191"
Radix,$0.129546,1.6%,3.2%,-8.3%,"$302,383","$1,276,299,899"
NEXO,$2.22,-1.6%,2.7%,-6.1%,"$9,352,916","$1,243,020,870"
Celo,$2.86,-0.9%,2.8%,-7.9%,"$65,970,442","$1,236,723,941"
BitDAO,$1.26,-1.5%,0.3%,3.4%,"$33,208,090","$1,159,638,543"
Stacks,$1.10,-0.6%,2.0%,-10.1%,"$16,233,717","$1,157,245,598"
Chiliz,$0.211465,-0.6%,5.4%,-8.0%,"$130,395,892","$1,129,066,857"
Loopring,$0.877693,-0.8%,2.1%,-6.2%,"$100,330,880","$1,093,288,270"
Dash,$100.49,-0.2%,3.9%,-7.4%,"$125,170,853","$1,073,080,098"
Basic Attention Token,$0.700835,-0.4%,1.3%,-8.4%,"$61,682,929","$1,049,357,929"
Curve DAO Token,$2.68,-0.9%,3.6%,22.5%,"$203,410,957","$1,047,129,212"
Amp,$0.021611153414,-0.5%,-1.4%,-0.4%,"$17,553,871","$1,039,185,487"
Pax Dollar,$0.999433,-0.0%,-0.3%,-0.1%,"$16,748,924","$1,015,483,559"
Mina Protocol,$2.13,-0.8%,2.8%,-11.1%,"$45,174,421","$1,014,489,196"
